Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Mey","CIN",1.26132,1.12495,0,4.4805,32.785,0,0,0.6483,,33.1838,147.499,29.6767,17.56,16.52,3.43657,19.3358,1.15475,2.3152,31.9402,8.66272,5.2442,1.65187,0.932054,0.216545,0.131091,0.08545419573783875,0.235814,1.477,0.290039,0.711574,,,4.51376,0.0132519,-0.0769657,999,,,,,,,134.30000000000004,4.069696969696971,131,3.9696969696969697,,,,,,,,,,,,,,,,,,,"Luis Mey","25620",682825
"Lyon Richardson","CIN",0.658415,0.652689,0,4.77923,17.453,0.07,0,0.6483,,19.9802,88.6541,19.4924,11.31,10.61,2.28097,9.89609,0.667904,1.0729,17.3859,7.83139,4.45765,1.75684,1.02745,0.196109,0.111626,0.08448301255702972,0.250915,1.47088,0.296655,0.690146,,,4.5259,0.0114563,-0.0558177,999,,,,,,,79,3.95,79,3.95,,,,,,,,,,,,,,,,,,,"Lyon Richardson","24581",680689
"Derek Law",,1.10683,1.43029,0,4.92805,21.191,0,0,0,,22.0432,97.2899,23.202,12.92,12.07,2.79488,8.74956,0.486246,1.07549,17.6969,7.22547,3.57235,2.02261,1.14112,0.181899,0.0899328,0.09196630120277405,0.265272,1.4495,0.304706,0.678759,,,4.51491,0.0105015,-0.152523,999,,,,,,,72.10000000000001,3.277272727272728,77,3.5,,,,,,,,,,,,,,,,,,,"Derek Law","13133",571882
"Jayvien Sandridge","NYY",1.03162,0.614387,0,4.30056,19.201,0,0,0.6937,,19.63,86.658,15.5552,9.99,9.38,2.41153,12.5064,0.759791,1.15582,23.2469,10.6583,5.73398,1.85879,1.10564,0.26826,0.144319,0.12394019961357117,0.213097,1.42953,0.27766,0.732075,,,4.45164,0.00977203,0.0460665,999,,,,,,,89.80000000000001,4.49,82,4.1,,,,,,,,,,,,,,,,,,,"Jayvien Sandridge","25158",682144
"Tucker Davidson","PHI",0.226584,0.169909,0,4.60373,5.768,0,0,0.6412,,6.0212,26.2925,5.94038,3.31,3.08,0.684587,2.50821,0.167312,0.259701,4.98478,7.45084,3.74907,1.98738,1.02326,0.18959,0.0953965,0.0941929817199707,0.252518,1.40314,0.294356,0.686045,,,4.33653,0.00950461,0.0138199,999,,,,,,,21.500000000000007,3.5833333333333344,22,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Tucker Davidson","19871",656353
"Jake Eder","WSN",0.743706,0.741445,0,4.68434,23.2,0.059,0,0.6547,,28.6657,125.714,27.1517,15.98,14.92,3.59408,13.2069,0.829816,1.46482,25.7966,8.09922,4.14648,1.95328,1.12841,0.205201,0.105055,0.10014639049768448,0.244517,1.4079,0.288515,0.690086,,,4.5007,0.00876602,-0.0859588,999,,,,,,,109.20000000000003,3.765517241379311,107,3.689655172413793,,,,,,,,,,,,,,,,,,,"Jake Eder","27590",671109
"Tyler Gilbert","CHW",1.51356,1.91988,0,4.78536,49.777,0.491,0,6.096,,52.9427,229.912,51.5163,30.22,28.15,8.07033,20.2697,1.48212,2.16155,48.0423,8.16695,3.44576,2.37015,1.37192,0.208959,0.0881629,0.12079624086618423,0.248294,1.35592,0.287021,0.687183,,,4.57299,0.00729379,-0.234203,999,,,,,,,212.60000000000008,4.011320754716983,215,4.056603773584905,,,,,,,,,,,,,,,,,,,"Tyler Gilbert","17964",656457
"Noah Davis","PIT",0.201165,0.190011,0,4.89089,5.383,0.036,0,0.6588,,5.9437,26.3896,5.76738,3.45,3.23,0.787975,2.76319,0.148982,0.498652,5.60017,8.47982,4.18404,2.02671,1.19316,0.212211,0.104707,0.10750371217727661,0.249371,1.43523,0.297463,0.68403,,,4.62055,0.00683269,0.01382,999,,,,,,,23.500000000000007,3.916666666666668,24,4,,,,,,,,,,,,,,,,,,,"Noah Davis","25862",663562
"Ryan Rolison","CHC",0.666578,0.531317,0,4.43218,15.132,0.042,0,0.7266,,16.1433,69.1753,15.97,8.53,7.95,2.11599,5.42331,0.519527,0.472077,12.0672,6.72753,3.02353,2.22506,1.17968,0.174443,0.0783995,0.09604385495185852,0.252371,1.32521,0.282178,0.69792,,,4.43968,0.00639608,-0.064967,999,,,,,,,65.20000000000002,4.075000000000001,67,4.1875,,,,,,,,,,,,,,,,,,,"Ryan Rolison","22200",669020
"Ky Bush","CHW",0.437751,0.467066,0,4.39004,14.091,0.006,0,0.6096,,15.3757,66.4197,14.1768,8.04,7.5,1.92251,6.55925,0.497922,0.63605,12.8967,7.54894,3.83939,1.96619,1.12532,0.19417,0.0987546,0.09541523456573486,0.239374,1.34862,0.275965,0.703595,,,4.48695,0.00629556,-0.0164809,999,,,,,,,56.00000000000001,3.733333333333334,55,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Ky Bush","29823",681066
"Enyel De Los Santos","HOU",2.59137,1.98154,0,4.84969,57.884,0,0,12.3681,,59.6451,258.716,57.7006,34.38,32.14,9.53838,22.1339,1.16368,3.55286,55.0511,8.3068,3.33985,2.48718,1.43927,0.212786,0.085553,0.1272326186299324,0.247611,1.33849,0.285931,0.683724,,,4.66011,0.00620605,-0.269006,999,,,,,,,250.2,4.17,250,4.166666666666667,,,,,,,,,,,,,,,,,,,"Enyel De Los Santos","18403",660853
"Chris Devenski","PIT",0.70627,0.684865,0,5.17383,19.138,0.121,0,0.6588,,20.8743,90.7458,21.4471,12.81,12,3.3879,6.93472,0.380954,0.948866,18.0098,7.76495,2.98992,2.59704,1.4607,0.198464,0.0764192,0.12204473465681076,0.258828,1.35965,0.293815,0.658741,,,4.6525,0.00345447,-0.204928,999,,,,,,,79.9,3.804761904761905,82,3.9047619047619047,,,,,,,,,,,,,,,,,,,"Chris Devenski","12763",606965
"Lake Bachar","MIA",1.79614,1.67441,0,4.77965,51.855,0.117,0,9.8682,,56.1505,246.93,51.6477,32.11,29.82,8.94898,27.0452,1.92003,2.98828,58.2547,9.33727,4.33491,2.15397,1.43437,0.235916,0.109526,0.12638995051383972,0.238122,1.40146,0.285242,0.704049,,,4.73669,0.00342729,-0.277977,999,,,,,,,234.5000000000001,4.187500000000002,229,4.089285714285714,,,,,,,,,,,,,,,,,,,"Lake Bachar","19222",669199
"Orlando Ribalta","WSN",1.11859,1.08939,0,4.67934,34.39,0,0,0.6547,,35.832,157.094,32.3631,19.94,18.63,5.11018,17.3854,1.27597,1.9244,33.2476,8.35088,4.36673,1.91239,1.28354,0.211642,0.110669,0.10097289085388184,0.234883,1.38838,0.274102,0.699825,,,4.75008,0.00288295,-0.120842,999,,,,,,,134.70000000000005,3.741666666666668,128,3.5555555555555554,,,,,,,,,,,,,,,,,,,"Orlando Ribalta","26247",687377
"Shinnosuke Ogasawara","WSN",0.278375,0.297064,0,4.79192,8.729,0.062,0,0.6547,,9.7101,42.5346,9.85887,5.56,5.17,1.2639,3.73285,0.287187,0.384778,7.71971,7.15517,3.45987,2.06805,1.17147,0.181493,0.0877604,0.09373217821121216,0.256628,1.39975,0.292015,0.679373,,,4.50939,0.00282616,-0.0784438,999,,,,,,,43.7,4.37,45,4.5,,,,,,,,,,,,,,,,,,,"Shinnosuke Ogasawara","35324",829272
