Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Freddie Freeman","LAD",144.191,621.944,546.979,150.617,95.39,32.2526,2.01064,20.9635,84.4782,80.7007,62.1722,7.45203,112.391,6.9473,5.11681,0.728812,10.9573,8.589,2.36559,0.275361,0.0999644,0.180709,0.553178,0.35372,0.456656,0.347534,0.810376,0.181295,4.34818,0.309626,,-0.287795,90.8979,17.4104,124.166,-0.287795,0,17.52588978409767,-11.173701286315918,2.76698,73.45999908447266,,,,,,,818.7,5.685416666,818.7,5.685416666,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Yainer Diaz","HOU",133.863,528.739,497.7,132.851,90.6642,23.7434,0.926528,17.5167,59.6797,66.5147,22.5891,1.07891,92.2539,3.45343,4.32167,0.674932,11.9518,1.55602,0.486294,0.26693,0.0427225,0.174479,0.244857,0.300898,0.423945,0.311683,0.724843,0.157016,2.8226,0.294031,,-0.65128,61.8855,-0.589084,99.8258,-0.65128,1.11,-0.7598455920815468,9.556192755699158,2.76189,113.97000122070312,,,,,,,573.1,4.276865671,573.1,4.276865671,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Trevor Story","BOS",139.635,581.646,527.91,132.088,82.68,24.9972,2.78573,21.6251,75.0936,71.3176,35.3719,1.3973,158.31,6.32799,4.11496,1.03826,7.08461,23.0292,4.72476,0.25021,0.0608135,0.272177,0.223434,0.302912,0.431005,0.315883,0.733917,0.180796,6.40288,0.313736,,1.85909,70.0612,1.33524,97.9474,1.85909,0,0.4519386291503906,6.464582920074463,2.75587,112.26000213623047,,,,,,,660.3,4.716428571,660.3,4.716428571,,,,,,,,,,,,,,,,,,,"Trevor Story","12564",596115
"James Wood","WSN",147.077,641.073,559.901,145.863,88.1751,30.8147,1.96298,24.9107,85.9936,83.2358,73.1612,4.50096,188.717,4.3256,3.13772,0.547747,11.5105,17.0421,5.5487,0.260517,0.114123,0.294377,0.387676,0.348699,0.456038,0.347234,0.804737,0.195522,4.79486,0.346163,,0.0721905,93.5374,17.7897,123.472,0.0721905,0,17.90602419525385,-12.53272819519043,2.73194,34.88999938964844,,,,,,,840.4,5.717006802,840.4,5.717006802,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Taylor Ward","BAL",147.459,620.854,543.548,132.964,80.1282,24.1503,1.89973,26.7861,80.381,79.9574,64.9731,0.536468,153.139,6.57071,5.19104,0.571018,9.38156,4.77978,1.34277,0.244623,0.104651,0.246658,0.424276,0.329701,0.443884,0.335342,0.773585,0.199261,3.7651,0.287891,,-0.59168,84.5929,11.2342,116.993,-0.59168,0,11.842725694179535,-6.826805591583252,2.69949,161.77000427246094,,,,,,,758.3,5.158503401,758.3,5.158503401,,,,,,,,,,,,,,,,,,,"Taylor Ward","17548",621493
"Francisco Alvarez","NYM",114.074,432.19,385.508,85.5765,51.9766,14.5023,1.18634,17.9114,49.8754,54.355,37.6008,1.27263,117.085,5.73903,2.77395,0.56826,8.30524,0.844112,0.309452,0.221984,0.0870006,0.270911,0.32114,0.298679,0.405142,0.305934,0.703821,0.183159,2.85319,0.26715,,-0.57875,48.5676,-2.49895,98.4605,-0.57875,6.69,-1.3673449158668518,13.3489089012146,2.69702,174.1699981689453,,,,,,,447.9,3.928947368,447.9,3.928947368,,,,,,,,,,,,,,,,,,,"Francisco Alvarez","26121",682626
"Maikel Garcia","KCR",150.532,637.864,574.314,153.252,106.215,30.1673,3.88286,12.9872,82.1224,65.1814,52.6454,0.782276,92.5495,1.65165,5.93513,3.31799,12.6014,26.0976,5.85954,0.266844,0.0825338,0.145093,0.568835,0.327083,0.400734,0.317405,0.727817,0.13389,6.18343,0.295474,,1.76546,77.6212,2.25268,100.175,1.76546,0,1.89734348654747,2.4208362102508545,2.688,81.51000213623047,,,,,,,712.4,4.717880794,712.4,4.717880794,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Seiya Suzuki","CHC",143.508,615.502,539.821,135.386,82.0802,25.6027,2.95466,24.7487,82.0166,79.8469,65.2572,1.79474,155.184,4.47333,5.1903,0.760502,8.76294,10.0807,3.08257,0.250798,0.106023,0.252125,0.420516,0.333663,0.446712,0.337223,0.780375,0.195913,4.96129,0.303051,,-0.236583,84.8037,12.0774,118.386,-0.236583,0,13.17591854929924,-7.431312561035156,2.68289,103.05999755859375,,,,,,,761.1,5.285416666,761.1,5.285416666,,,,,,,,,,,,,,,,,,,"Seiya Suzuki","30116",673548
"Andy Pages","LAD",138.694,562.853,514.884,130.455,77.6648,28.2906,1.23377,23.2655,74.4953,76.6203,34.5775,1.16008,124.884,8.17063,4.72311,0.497871,7.37058,9.04071,2.78032,0.253367,0.0614326,0.221877,0.276877,0.307996,0.448663,0.324869,0.756659,0.195296,4.51619,0.288564,,-0.117714,71.9039,5.39852,108.64,-0.117714,0,5.645790070295334,1.6483073234558105,2.66221,141.13999938964844,,,,,,,653.8,4.703597122,653.8,4.703597122,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Dansby Swanson","CHC",154.38,628.183,563.607,134.545,87.9319,23.7553,2.07079,20.7873,76.5147,73.2955,49.9185,0.94583,162.412,3.66421,4.47838,1.10471,10.1108,15.2062,3.98458,0.238722,0.0794649,0.258543,0.307357,0.302618,0.398867,0.305249,0.701485,0.160145,5.04467,0.295563,,0.481488,70.2436,-3.98106,96.4831,0.481488,0,-2.13692843914032,7.147222518920898,2.65093,147.7100067138672,,,,,,,649.7,4.218831168,649.7,4.218831168,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
