Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Adam Mazur,MIA,2.034729777554629,2.454594652288124,1.1092670318423599,4.29867,28.341786271984397,2.9394170141238622,0.0,0.5813513650156084,,41.55918333333333,177.6106441685404,43.13485600929948,21.38189998632001,19.84986495182897,5.845992393707205,11.274206535869952,0.6497563165171327,1.4380462682369548,32.899787821570726,7.12473,2.44153,2.91815,1.266,0.185235,0.0634771,0.1217583641409874,0.261584,1.30919,0.295585,0.714492,0.418213,,4.29818,0.18514063219854907,0.1994330938159896,999.0,,,,,,,159.49058984042438,3.821739130434783,168.74431007007357,4.043478260869565,7.74149,6.21654,5.30935,4.63715,4.08661,3.60384,3.15497,2.68998,2.16499,5.3138,5.05602,4.87825,4.73436,4.60047,4.47047,4.33659,4.18881,3.98492,Adam Mazur,31900,800049.0
Josh White,MIA,2.4026,2.5001,0.0,3.92113,50.0,0.0,0.0,4.2719,,50.0,214.041,45.2046,23.5403,21.7841,5.91667,20.9561,1.2988,2.0893,50.7905,9.14229,3.7721,2.42366,1.065,0.237293,0.0979069,0.1393863707780838,0.236679,1.32321,0.292564,0.736391,0.414617,,4.02457,0.202868,0.274068,999.0,,,,,,,228.2,4.564,221.0,4.42,6.43,5.44,4.81,4.34,3.94,3.57,3.22,2.85,2.41,5.01,4.72,4.51,4.35,4.2,4.05,3.9,3.73,3.51,Josh White,sa3019953,687985.0
Caden Dana,LAA,2.9852362267885315,4.679335705341417,3.8949383905732025,5.08155,11.178075738252176,11.178075738252176,0.0,0.0,,62.380631666666666,276.26476186155213,64.26123940892631,37.516313195807584,35.22115064468733,10.798780168294323,27.45273300893966,0.23729260780153846,2.8212221154933133,52.63065860467749,7.59332,3.96076,1.91714,1.558,0.190508,0.0993711,0.0911369398236274,0.261234,1.47023,0.292847,0.707581,0.385839,,5.15411,0.13989844789695238,0.17444353196087803,736.4299926757812,,,,,,,170.70715664466596,2.7488888888888887,180.7812249025969,2.911111111111111,7.27,6.5,5.99,5.59,5.24,4.91,4.58,4.22,3.77,6.18,5.89,5.69,5.53,5.38,5.24,5.09,4.92,4.69,Caden Dana,31508,702674.0
Mason Montgomery,PIT,2.0812335833333333,2.0745228888888887,0.0,3.88748,42.38333333333333,0.0,1.5109658333333331,8.58961825,,42.38333333333333,180.89347944444444,38.253360055555554,19.722589694444444,18.307127638888886,5.0294888888888885,17.31203761111111,1.0119020833333334,1.8986320555555556,42.992735027777776,9.12941,3.67617,2.4834,1.068,0.237669,0.0957029,0.1419658586382866,0.236595,1.31102,0.292308,0.73866,0.38948,,4.00883,0.1431829086111111,0.3070206283333333,648.3099975585938,,,,,,,221.45291666666665,5.225,215.4486111111111,5.083333333333333,6.19,5.3,4.74,4.3,3.93,3.6,3.27,2.92,2.5,4.89,4.63,4.44,4.29,4.15,4.02,3.88,3.73,3.53,Mason Montgomery,29770,682254.0
Evan Sisk,PIT,2.5575,2.5412,0.0,3.81299,52.0,0.0,0.0,6.8513,,52.0,224.428,49.6618,24.1212,22.0306,4.83022,22.5487,1.3252,2.3174,47.4475,8.21207,3.90266,2.10422,0.836,0.211415,0.100472,0.1109433770179748,0.248854,1.38866,0.304388,0.734769,0.494373,,3.95237,0.201287,0.403926,999.0,,,,,,,240.3,4.621153846153846,242.0,4.653846153846154,6.31,5.34,4.74,4.28,3.89,3.53,3.19,2.83,2.39,4.93,4.64,4.44,4.28,4.14,4.0,3.85,3.69,3.47,Evan Sisk,24995,681895.0
Kevin Kelly,TBR,2.1247,2.1896,0.0,4.04554,44.0,0.0,0.0,0.6602,,44.0,186.757,45.0806,21.4652,19.7782,5.59778,11.5212,1.0612,2.2446,37.5081,7.67211,2.35661,3.25557,1.145,0.200839,0.0616909,0.1391481831669807,0.260595,1.2864,0.303982,0.72053,0.476857,,4.02269,0.198527,0.180696,999.0,,,,,,,172.8,3.927272727272728,180.0,4.090909090909091,6.73,5.66,5.0,4.49,4.06,3.68,3.3,2.92,2.45,5.15,4.86,4.66,4.5,4.35,4.21,4.07,3.9,3.68,Kevin Kelly,25679,687330.0
Jalen Beeks,,2.5471,2.4534,0.0,3.87635,51.0,0.0,0.0,0.0,,51.0,218.322,48.4337,23.8398,21.966,5.89333,19.2933,1.2409,1.9197,47.2925,8.34574,3.4047,2.45124,1.04,0.216618,0.0883708,0.1282472610473632,0.24572,1.32798,0.295577,0.737894,0.434,,4.03057,0.197628,0.2693,999.0,,,,,,,209.8,4.113725490196079,208.0,4.078431372549019,6.36,5.38,4.78,4.31,3.92,3.56,3.21,2.85,2.41,4.92,4.65,4.46,4.31,4.17,4.04,3.9,3.75,3.54,Jalen Beeks,17192,656222.0
Mason Englert,TBR,2.4906536805555555,2.666309847222222,0.0,4.23912,52.59166666666667,0.0,0.9510326388888889,10.478714277777778,,52.59166666666667,224.9433236111111,52.61743658333334,26.66528979166667,24.771376222222223,7.567353559722223,16.37678204166667,1.2531717638888888,2.088152125,47.50026741666667,8.12871,2.80256,2.90046,1.295,0.211165,0.072804,0.1383614465594291,0.254833,1.31188,0.297536,0.724811,0.424722,,4.25261,0.17236217527777778,0.09399708583333334,999.0,,,,,,,241.30809722222224,4.588333333333334,246.30430555555557,4.683333333333334,6.65,5.73,5.15,4.69,4.31,3.95,3.61,3.24,2.79,5.32,5.04,4.84,4.67,4.53,4.38,4.24,4.07,3.85,Mason Englert,22288,669438.0
Ryan Johnson,LAA,1.0702,1.0869,0.0,3.87536,22.0,0.0,0.0,0.6569,,22.0,92.671,20.7869,10.2532,9.4731,2.74756,7.3219,0.5798,0.7686,21.2842,8.70717,2.99532,2.90692,1.124,0.229675,0.0790096,0.1506652757525444,0.245765,1.27767,0.297931,0.735942,0.440533,,3.92701,0.194323,0.159671,999.0,,,,,,,93.3,4.240909090909091,93.0,4.2272727272727275,7.15,5.68,4.81,4.18,3.66,3.2,2.78,2.35,1.87,5.03,4.71,4.49,4.31,4.15,3.99,3.83,3.65,3.42,Ryan Johnson,35325,696270.0
Jake Bird,NYY,2.7184,2.4779,0.0,3.82183,53.0,0.0,0.0,10.0914,,53.0,228.547,48.3084,24.499,22.5063,6.00078,22.1412,1.4906,3.2303,53.8717,9.14802,3.75983,2.4331,1.019,0.235714,0.0968781,0.1388357803225517,0.237767,1.32924,0.295232,0.740559,0.460032,,4.01025,0.192997,0.269265,999.0,,,,,,,266.6,5.030188679245283,260.0,4.90566037735849,6.26,5.31,4.72,4.27,3.88,3.53,3.19,2.83,2.4,4.86,4.59,4.41,4.26,4.13,4.0,3.86,3.71,3.51,Jake Bird,21267,656234.0
Jaden Hill,COL,1.7120974358974361,1.9682624358974363,0.0,4.58241,37.53333333333334,0.0,0.0,4.587295128205129,,37.53333333333334,164.40321794871798,38.700547820512824,20.550438333333336,19.110385384615387,4.74588067948718,14.699136025641026,0.941220512820513,2.308083461538462,35.48105397435898,8.50789,3.52466,2.41382,1.138,0.215817,0.0894091,0.1264082193374633,0.262562,1.42273,0.316833,0.702576,0.463343,,4.24764,0.13927176410256414,0.2167853153846154,999.0,,,,,,,152.51525641025646,4.06346153846154,160.23846153846156,4.269230769230769,7.23,6.21,5.56,5.07,4.64,4.25,3.87,3.47,2.98,5.77,5.45,5.23,5.05,4.89,4.73,4.57,4.38,4.14,Jaden Hill,30250,677955.0
Tim Herrin,CLE,2.5280435802469134,2.5150900000000003,0.0,3.76963,51.43333333333334,0.0,0.0,9.675467222222222,,51.43333333333334,221.50431728395063,45.46563796296296,23.444837283950616,21.542756419753086,5.3262074074074075,24.478266296296297,1.2998346296296297,2.6159564814814815,54.155585370370375,9.47635,4.2833,2.21239,0.932,0.24449,0.110509,0.1339807733893394,0.233865,1.35989,0.297487,0.744137,0.451211,,3.95585,0.18375987037037037,0.23085661172839508,999.0,,,,,,,255.26172839506174,4.962962962962963,246.68950617283951,4.796296296296297,6.19,5.24,4.66,4.2,3.82,3.48,3.14,2.79,2.36,4.83,4.55,4.36,4.21,4.07,3.93,3.79,3.63,3.42,Tim Herrin,25139,682120.0
Dauri Moreta,,1.7984,1.7314,0.0,3.92208,36.0,0.0,0.0,0.0,,36.0,153.978,31.1028,16.8194,15.6883,4.652,15.3773,0.941,1.5676,40.5702,10.1426,3.84433,2.63832,1.163,0.263481,0.0998669,0.1636136472225189,0.226973,1.29111,0.288101,0.742124,0.358,,3.9732,0.192359,0.183915,999.0,,,,,,,155.30000000000004,4.31388888888889,146.0,4.055555555555555,6.71,5.53,4.81,4.27,3.82,3.41,3.03,2.64,2.17,4.98,4.68,4.48,4.31,4.16,4.02,3.87,3.7,3.48,Dauri Moreta,21101,664294.0
