Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Daniel Bruzual,,0.25,1.0,0.9446,0.1449,0.1175,0.0185,0.0017,0.0072,0.0615,0.0596,0.034,0.0,0.2938,0.01,0.0074,0.004,,0.0095,0.0031,0.153398,0.034,0.2938,0.115725,0.189659,0.19945,0.178241,0.389108,0.0460512,3.86916,0.211521,0.0,-0.00022707,0.00657677,-0.111169,-100.0,-0.00022707,0.0,-0.11139649800315965,0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Daniel Bruzual,sa3018531,800362
Elian Garcia,,0.25,1.0,0.9226,0.1243,0.0974,0.0143,0.0014,0.0112,0.0638,0.06,0.055,0.0,0.3312,0.011,0.0074,0.004,,0.0108,0.0035,0.134728,0.055,0.3312,0.166063,0.191064,0.189681,0.178162,0.380746,0.0549534,3.96704,0.192478,0.0,-0.000141225,0.00651298,-0.111233,-100.0,-0.000141225,0.0,-0.11137443665938918,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Elian Garcia,sa3018515,800326
Eduardo Oviedo,,0.25,1.0,0.9356,0.1306,0.0999,0.0149,0.0014,0.0144,0.0645,0.065,0.043,0.001,0.3808,0.01,0.0074,0.004,,0.011,0.0036,0.13959,0.043,0.3808,0.11292,0.184337,0.204681,0.1781,0.389019,0.0650919,4.02912,0.212121,0.0,-8.13392e-05,0.00646381,-0.111282,-100.0,-8.13392e-05,0.0,-0.11136373254703358,0.004000000189989805,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Eduardo Oviedo,sa3018451,800130
Miguel Vargas,,0.25,1.0,0.9316,0.1263,0.0961,0.0137,0.0013,0.0152,0.0648,0.0652,0.046,0.0,0.3689,0.011,0.0074,0.004,,0.0106,0.0034,0.135573,0.046,0.3689,0.124695,0.184036,0.202018,0.178027,0.386054,0.0664448,4.00823,0.200216,0.0,-8.56493e-05,0.00640547,-0.111341,-100.0,-8.56493e-05,0.0,-0.11142637325247051,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Miguel Vargas,sa3016193,700295
Joan Sierra,,0.25,1.0,0.9206,0.1193,0.0902,0.0141,0.0013,0.0137,0.0645,0.0619,0.056,0.0,0.3738,0.012,0.0074,0.004,,0.01,0.0032,0.129589,0.056,0.3738,0.149813,0.188052,0.192375,0.177901,0.380427,0.0627851,3.92895,0.195375,0.0,-0.000150615,0.00630448,-0.111442,-100.0,-0.000150615,0.0,-0.11159233163925819,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Joan Sierra,sa3022269,808043
Jose Aular,,0.25,1.0,0.9166,0.1236,0.0997,0.0148,0.0014,0.0077,0.0622,0.0553,0.06,0.0,0.3263,0.012,0.0074,0.004,,0.009,0.0029,0.134846,0.06,0.3263,0.18388,0.196386,0.179249,0.177862,0.375635,0.0444032,3.75667,0.196441,0.0,-0.000299048,0.00627295,-0.111473,-100.0,-0.000299048,0.0,-0.11177228757878765,0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Jose Aular,sa3017954,702869
Yandro Hernandez,,0.25,1.0,0.9316,0.1288,0.0997,0.0152,0.0014,0.0125,0.0638,0.0623,0.046,0.0,0.3652,0.011,0.0074,0.004,,0.0121,0.004,0.138257,0.046,0.3652,0.125958,0.186546,0.197832,0.177735,0.384378,0.0595749,4.11694,0.207198,0.0,-5.08531e-05,0.00617153,-0.111575,-100.0,-5.08531e-05,0.0,-0.11162552525638603,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Yandro Hernandez,sa3023989,824771
Miguel Flores,,0.25,1.0,0.9316,0.1346,0.1079,0.016,0.0014,0.0092,0.063,0.06,0.045,0.003,0.273,0.012,0.0074,0.004,,0.0075,0.0024,0.144483,0.045,0.273,0.164835,0.192369,0.194182,0.177732,0.386552,0.0496994,3.40506,0.190926,0.0,-0.000342029,0.00616891,-0.111577,-100.0,-0.000342029,0.0,-0.11191931655048393,0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Miguel Flores,sa3024972,828009
Jason Hernandez,,0.25,1.0,0.9336,0.1343,0.1077,0.0157,0.0015,0.0093,0.0625,0.0597,0.043,0.0,0.3118,0.012,0.0074,0.004,,0.0101,0.0033,0.143852,0.043,0.3118,0.137909,0.19006,0.193659,0.177707,0.383719,0.0498072,3.93111,0.201645,0.0,-0.000195472,0.00614947,-0.111597,-100.0,-0.000195472,0.0,-0.11179219748009928,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Jason Hernandez,sa3022826,811593
Yorfran John,,0.25,1.0,0.9406,0.1428,0.1189,0.0156,0.0015,0.0068,0.0614,0.0584,0.037,0.0,0.2606,0.011,0.0074,0.004,,0.0109,0.0035,0.151818,0.037,0.2606,0.14198,0.191566,0.193281,0.177497,0.384847,0.0414629,3.73284,0.199824,0.0,-0.000139762,0.00598154,-0.111765,-100.0,-0.000139762,0.0,-0.11190441643702798,-0.028999999165534973,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Yorfran John,sa3019723,800135
Daniel Gaitor,,0.25,1.0,0.9286,0.1254,0.0955,0.0155,0.0015,0.0129,0.0639,0.0621,0.049,0.0,0.3928,0.011,0.0074,0.004,,0.0121,0.0039,0.135042,0.049,0.3928,0.124745,0.186145,0.19664,0.177447,0.382785,0.0615981,4.12746,0.212144,0.0,-3.47453e-06,0.005941,-0.111805,-100.0,-3.47453e-06,0.0,-0.11180866765676001,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Daniel Gaitor,sa3021296,808688
Kashon Conliffe,,0.25,1.0,0.9236,0.1235,0.0959,0.0146,0.0014,0.0116,0.0637,0.06,0.055,0.0,0.3713,0.01,0.0074,0.004,,0.013,0.0042,0.133716,0.055,0.3713,0.148128,0.189257,0.190234,0.17729,0.379491,0.056518,4.14956,0.20416,0.0,2.48567e-05,0.00581566,-0.111931,-100.0,2.48567e-05,0.0,-0.11190567750236369,0.004000000189989805,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Kashon Conliffe,sa3018483,800244
Francisco Caldera,,0.25,1.0,0.9276,0.1262,0.0978,0.0145,0.0014,0.0124,0.0638,0.0619,0.05,0.001,0.3349,0.011,0.0074,0.004,,0.0092,0.0029,0.13605,0.05,0.3349,0.149298,0.187952,0.194696,0.177218,0.382648,0.058646,3.84548,0.193636,0.0,-0.000185428,0.00575781,-0.111988,-100.0,-0.000185428,0.0,-0.11217380859307013,-0.028999999165534973,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Francisco Caldera,sa3021853,808530
Estiven Giron,,0.25,1.0,0.9186,0.1219,0.0963,0.0145,0.0013,0.0098,0.0628,0.0575,0.059,0.0,0.3426,0.011,0.0074,0.004,,0.009,0.0029,0.132702,0.059,0.3426,0.172212,0.192671,0.183322,0.177179,0.375993,0.0506205,3.51992,0.195432,0.0,-0.000270447,0.00572669,-0.11202,-100.0,-0.000270447,0.0,-0.11228995633427985,0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Estiven Giron,sa3019440,800396
Elvis Rojas,,0.25,1.0,0.9286,0.1286,0.1018,0.0151,0.0015,0.0103,0.0626,0.0594,0.05,0.0,0.3575,0.01,0.0074,0.004,,0.0106,0.0034,0.138488,0.05,0.3575,0.13986,0.189357,0.191363,0.177173,0.380721,0.0528753,3.94078,0.208201,0.0,-0.000131728,0.00572197,-0.112024,-100.0,-0.000131728,0.0,-0.11215596045076381,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Elvis Rojas,sa3021167,808086
