Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Maximo Acosta,MIA,3,12,11,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.228569,0.0722017,0.248066,0.291058,0.287265,0.340417,0.281662,0.627681,0.111848,5.56191,0.293702,0.0140473,0.0334807,1.08829,-0.346471,74.8095,0.047528,-0.187376,-0.31409837678074837,-0.11484520137310028,-0.00431834,999.0,,,,,,,11.7,3.9,11.7,3.9,,,,,,,,,,,,,,,,,,,Maximo Acosta,27963,691185
Stuart Fairchild,CLE,11,48,43,9,7,1,0,1,7,6,4,0,13,0,0,0,,1,0,0.220721,0.0803064,0.263373,0.304915,0.291071,0.314497,0.27565,0.605568,0.0937758,5.26637,0.292009,-0.0101273,0.0101694,4.03109,-1.58584,72.9507,4.20241e-05,0.0250223,-1.5180959077515581,-0.20213822461664677,-0.00440869,999.0,,,,,,,33.6,3.054545454,33.6,3.054545454,,,,,,,,,,,,,,,,,,,Stuart Fairchild,20321,656413
Héctor Rodríguez,CIN,2,8,8,2,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.250669,0.0553708,0.176075,0.314473,0.294158,0.360951,0.290824,0.655109,0.110283,4.35158,0.286711,-0.00376974,-0.00945644,0.793419,-0.173263,77.483,-0.0132262,0.00897198,-0.23101664800196886,-0.07899098005145788,-0.00505524,999.0,,,,,,,3.2,1.6,3.2,1.6,,,,,,,,,,,,,,,,,,,Hector Rodriguez,sa3015828,699302
Yohandy Morales,WSN,8,36,33,8,5,2,0,1,4,4,3,0,10,0,0,0,,0,0,0.23527,0.0732342,0.288796,0.253584,0.299492,0.364052,0.296746,0.663544,0.128782,3.61221,0.317135,-0.0344181,0.00387233,3.66657,-0.591919,86.4169,-0.0305457,0.0238579,-0.6093064155429602,-0.5932717341929674,-0.00560835,999.0,,,,,,,36.0,4.5,36.0,4.5,,,,,,,,,,,,,,,,,,,Yohandy Morales,sa3022672,691002
Braden Montgomery,CHW,71,308,277,63,43,13,1,7,32,29,25,1,89,3,2,0,,4,1,0.228768,0.0816313,0.288955,0.282506,0.297165,0.358536,0.292898,0.655702,0.129768,4.15558,0.306762,-0.169283,-0.0821557,30.264,-5.98653,83.2396,-0.251439,-1.84584,-6.322373867034912,-4.558031797409058,-0.00580873,999.0,,,,,,,273.8,3.856338028,273.8,3.856338028,,,,,,,,,,,,,,,,,,,Braden Montgomery,35423,695731
Matthew Lugo,KCR,4,16,15,3,2,1,0,0,2,2,1,0,5,0,0,0,,0,0,0.221427,0.0595362,0.302065,0.197097,0.272024,0.364755,0.282185,0.636779,0.143328,4.01211,0.294219,-0.00387193,-0.00774387,1.45785,-0.455162,73.2004,-0.0116158,0.061866,-0.5238898228853941,-0.11220801994204521,-0.00663219,999.0,,,,,,,7.7,1.925,7.7,1.925,,,,,,,,,,,,,,,,,,,Matthew Lugo,25980,683090
Rafael Flores Jr.,PIT,5,19,17,4,3,1,0,0,2,2,2,0,5,0,0,0,,0,0,0.232033,0.0817584,0.289598,0.282317,0.296816,0.37338,0.298619,0.670196,0.141346,3.15462,0.309065,-0.0256965,-0.0083122,1.91022,-0.276076,85.78,-0.0340087,-0.672835,-0.345075573772192,-0.3101811408996582,-0.00674669,999.0,,,,,,,14.3,2.86,14.3,2.86,,,,,,,,,,,,,,,,,,,Rafael Flores Jr.,31991,804668
Brandon Drury,KCR,2,8,7,2,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.22067,0.0730753,0.246515,0.296433,0.282662,0.359193,0.286594,0.641855,0.138523,2.3492,0.269584,-0.0157088,-0.00908214,0.757581,-0.198925,76.1987,-0.024791,-0.0139347,-0.2522718571126461,-0.1009717145934701,-0.00691165,999.0,,,,,,,7.2,3.6,7.2,3.6,,,,,,,,,,,,,,,,,,,Brandon Drury,11615,592273
Hayden Senger,NYM,2,8,7,1,1,0,0,0,0,0,0,0,2,0,0,0,,0,0,0.200018,0.0546006,0.297036,0.183818,0.249654,0.272344,0.237516,0.521998,0.0723263,2.16896,0.276733,-0.00757567,-0.00835107,0.405305,-0.478518,49.4867,-0.0159267,0.0101549,-0.4626272860914469,0.15675984229892492,-0.00691362,999.0,,,,,,,-1.4,-0.7,-1.4,-0.7,,,,,,,,,,,,,,,,,,,Hayden Senger,21489,663584
Bryce Teodosio,LAA,12,52,48,10,7,2,0,1,5,4,3,0,17,1,0,0,,2,0,0.208153,0.05512,0.316928,0.173919,0.262859,0.302249,0.255009,0.565109,0.0940966,7.06967,0.30119,0.136176,0.182572,3.55185,-2.5993,56.5571,0.318748,0.48635,-2.3513792753219604,0.44329410791397095,-0.00730458,999.0,,,,,,,39.0,3.25,39.0,3.25,,,,,,,,,,,,,,,,,,,Bryce Teodosio,29524,669326
Adael Amador,COL,4,16,15,3,2,1,0,0,2,2,1,0,3,0,0,0,,0,0,0.240602,0.090489,0.175604,0.515302,0.313674,0.356282,0.301847,0.669956,0.115681,4.47246,0.279411,-0.00744508,-0.00881803,1.71341,-0.199601,76.1736,-0.0162631,-0.174167,-0.47232307493686676,-0.11614252626895905,-0.00744763,999.0,,,,,,,7.7,1.925,7.7,1.925,,,,,,,,,,,,,,,,,,,Adael Amador,27962,691182
José Barrero,BAL,2,8,7,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.2072,0.084553,0.29336,0.288223,0.290263,0.24255,0.252367,0.532813,0.0353507,2.96656,0.30022,0.0,-0.0124718,0.529456,-0.416874,57.3791,-0.0124718,0.0,-0.41548752412199974,0.05740740895271301,-0.00771615,999.0,,,,,,,1.6,0.8,1.6,0.8,,,,,,,,,,,,,,,,,,,Jose Barrero,23378,676480
Ethan Murray,MIL,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.195525,0.0833612,0.31379,0.265659,0.266619,0.263148,0.245171,0.529767,0.0676228,2.55899,0.285057,-0.00296823,-0.00414537,0.249385,-0.239044,52.1314,-0.00711359,-0.000472928,-0.24104932323098183,0.014341886475449428,-0.00971293,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Ethan Murray,sa3017051,696140
Santiago Espinal,LAD,12,53,48,12,9,2,0,1,5,5,3,0,7,0,0,1,,1,0,0.244895,0.0655006,0.137687,0.475722,0.297857,0.326103,0.280751,0.62396,0.0812076,3.41821,0.276072,-0.027408,-0.0332279,4.67744,-1.53985,76.0459,-0.0606359,-0.410921,-1.5507741831243038,-0.22234123945236206,-0.00996363,999.0,,,,,,,45.3,3.775,45.3,3.775,,,,,,,,,,,,,,,,,,,Santiago Espinal,19997,669289
Luis Vázquez,BAL,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.22855,0.0630257,0.25153,0.250569,0.281444,0.307958,0.266328,0.589401,0.0794073,3.61487,0.296756,-0.00207884,-0.00289131,0.309609,-0.163556,66.872,-0.00497015,-0.100748,-0.1615966293029487,-0.08639635890722275,-0.0109024,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Luis Vazquez,23442,676679
