Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Gregory Santos,SFG,1,1,0,4.06877,12,0,0,0,,12.0,53,12,6,5,1,5,,1,10,7.13069,4.05511,1.75844,0.73312,0.180803,0.10282,0.07798313349485397,0.250355,1.4224,0.295995,0.711581,,,4.07977,-0.00150708,-0.00757729,999.0,,,,,,,47.30000000000001,3.9416666666666678,49.0,4.083333333333333,,,,,,,,,,,,,,,,,,,Gregory Santos,21894,666619
Yoniel Curet,DET,0,0,0,4.53806,5,0,0,0,,5.0,21,4,3,2,1,3,,0,5,8.74549,4.93798,1.77107,0.997752,0.219894,0.124159,0.09573502093553543,0.236283,1.44897,0.289416,0.696337,,,4.42852,-0.00189424,-0.0152426,999.0,,,,,,,15.299999999999999,3.0599999999999996,13.0,2.6,,,,,,,,,,,,,,,,,,,Yoniel Curet,sa3015446,692414
Alex Carrillo,NYM,0,1,0,4.31008,9,0,0,0,,9.0,41,8,5,4,1,5,,1,10,9.54611,4.63158,2.06109,1.23883,0.243254,0.118022,0.1252320632338524,0.227396,1.3711,0.279903,0.721796,,,4.55432,-0.00204525,-0.0228617,999.0,,,,,,,35.500000000000014,3.944444444444446,34.0,3.7777777777777777,,,,,,,,,,,,,,,,,,,Alex Carrillo,26463,692024
Colton Gordon,HOU,1,1,0,4.44027,12,0,0,0,,12.0,53,13,7,6,2,4,,1,11,8.07365,2.58445,3.12394,1.51326,0.211292,0.0676364,0.14365547895431519,0.257246,1.29501,0.294363,0.716059,,,4.47968,-0.00214445,-0.0323125,999.0,,,,,,,37.40000000000002,3.1166666666666685,41.0,3.4166666666666665,,,,,,,,,,,,,,,,,,,Colton Gordon,31312,676467
Kade Strowd,ARI,1,1,0,4.06397,13,0,0,0,,13.0,59,13,7,6,1,6,,1,12,8.22142,4.30908,1.90793,0.86757,0.209037,0.109562,0.09947489202022552,0.243213,1.41399,0.295843,0.721774,,,4.10512,-0.00222941,-0.0165335,999.0,,,,,,,53.10000000000001,4.084615384615385,55.0,4.230769230769231,,,,,,,,,,,,,,,,,,,Kade Strowd,26191,669704
Tyler Samaniego,BOS,1,1,0,4.31181,17,0,0,0,,17.0,73,16,9,8,2,7,,1,13,7.26791,3.80061,1.9123,1.00532,0.184428,0.0964429,0.08798515051603317,0.254431,1.41535,0.29538,0.710583,,,4.36839,-0.00225917,-0.00525528,999.0,,,,,,,61.600000000000016,3.6235294117647068,61.0,3.588235294117647,,,,,,,,,,,,,,,,,,,Tyler Samaniego,30081,701719
Yosver Zulueta,SEA,0,0,0,3.87614,7,0,0,0,,7.0,30,6,3,3,1,4,,0,7,8.94922,4.5732,1.95688,0.897265,0.229299,0.117176,0.1121232658624649,0.228387,1.36945,0.284479,0.732854,,,4.10749,-0.00232767,0.0085046,999.0,,,,,,,25.900000000000013,3.700000000000002,24.0,3.4285714285714284,,,,,,,,,,,,,,,,,,,Yosver Zulueta,27765,691172
Josh Ekness,MIA,1,1,0,4.39486,15,0,0,0,,15.0,66,14,8,7,2,7,,1,14,8.41691,4.09897,2.05342,1.03752,0.213391,0.10392,0.10947127640247345,0.241887,1.38392,0.29168,0.697849,,,4.36524,-0.00237185,-0.0158771,999.0,,,,,,,54.00000000000001,3.6000000000000005,53.0,3.533333333333333,,,,,,,,,,,,,,,,,,,Josh Ekness,33785,694795
Bryse Wilson,PHI,1,1,0,5.30548,7,1,0,0,,11.0,50,13,7,7,2,4,,0,8,6.107,3.01395,2.02625,1.61584,0.154355,0.0761776,0.07817699760198593,0.277386,1.45193,0.295842,0.675651,,,5.18858,-0.00237314,-0.0476726,999.0,,,,,,,27.000000000000007,2.454545454545455,33.0,3.0,,,,,,,,,,,,,,,,,,,Bryse Wilson,19990,669060
Rafael Montero,NYY,0,0,0,4.46442,4,0,0,0,,4.0,15,3,2,2,0,2,,0,3,8.40065,4.57227,1.83731,1.1674,0.214034,0.116493,0.09754055738449097,0.23798,1.41683,0.28272,0.710511,,,4.55069,-0.00244622,-0.000935286,999.0,,,,,,,21.8,5.45,20.0,5.0,,,,,,,,,,,,,,,,,,,Rafael Montero,12760,606160
