Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dylan Bice",,0.0456,0.0566,0.0109,4.88223,0.8516,0.0316,0,0,,1,4.403,1.0412,0.5783,0.54247,0.159333,0.4041,0.0226,0.039,0.7743,6.9687,3.6369,1.91611,1.434,0.175857,0.0917783,0.08407902717590332,0.262936,1.4453,0.291404,0.709357,0.375,,4.98717,-0.0066493,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Dylan Bice","sa918551",670393
"Kade McClure",,0.0434,0.0546,0,4.9572,1,0,0,0,,1,4.458,1.075,0.5889,0.5508,0.142222,0.432,0.0271,0.0447,0.726,6.534,3.888,1.68056,1.28,0.162853,0.0969044,0.06594885885715485,0.270012,1.507,0.299632,0.701971,0.403522,,4.96213,-0.00665718,-0.0442967,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kade McClure","sa915622",656701
"CJ Weins","DET",0.0443,0.0537,0,4.78116,1,0,0,0,,1,4.505,0.9909,0.5703,0.53124,0.130444,0.5608,0.0273,0.0432,0.8396,7.5564,5.0472,1.49715,1.174,0.186371,0.124484,0.06188679486513138,0.254012,1.5517,0.293575,0.716833,0.411917,,4.96371,-0.00665746,-0.0483735,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"CJ Weins","sa3023221",694291
"Rodolfo Sanchez",,0.0469,0.0618,0.0286,4.90986,0.6248,0.0798,0,0,,1,4.444,1.0355,0.5838,0.54554,0.148667,0.4606,0.0165,0.0399,0.7906,7.1154,4.1454,1.71646,1.338,0.177903,0.103645,0.07425743341445923,0.262584,1.4961,0.295195,0.708326,0.405018,,4.9881,-0.00665976,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Rodolfo Sanchez","sa3003009",672651
"Ashton Goudeau",,0.041,0.0571,0,5.64822,1,0,0,0,,1,4.49,1.1723,0.6648,0.62758,0.177333,0.379,0.0295,0.0426,0.7144,6.4296,3.411,1.88496,1.596,0.159109,0.0844098,0.07469934225082397,0.288148,1.5513,0.313211,0.680336,0.393721,,5.27647,-0.00666404,-0.0344302,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ashton Goudeau","15139",623485
"Luis Patiño",,0.0457,0.0549,0.0064,4.81932,0.9118,0.0188,0,0,,1,4.415,1.0059,0.5705,0.53548,0.155556,0.4558,0.0422,0.04,0.8275,7.4475,4.1022,1.81549,1.4,0.187429,0.103239,0.0841902643442154,0.25666,1.4617,0.289613,0.716443,0.364002,,4.98976,-0.00667831,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luis Patino","22815",672715
"Malvin Pena",,0.0448,0.0532,0,4.86351,1,0,0,0,,1,4.433,1.0382,0.5778,0.54039,0.149889,0.4407,0.0269,0.0423,0.7714,6.9426,3.9663,1.7504,1.349,0.174013,0.0994135,0.07459959387779236,0.262835,1.4789,0.293297,0.710056,0.395995,,4.98989,-0.0066798,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Malvin Pena","sa830644",658369
"Matt Merrill",,0.0461,0.0582,0.0159,4.84506,0.7831,0.0461,0,0,,1,4.493,0.9802,0.5766,0.53834,0.138222,0.5635,0.0211,0.046,0.8852,7.9668,5.0715,1.5709,1.244,0.197018,0.125417,0.07160027325153351,0.252401,1.5437,0.29439,0.71627,0.404996,,4.99013,-0.00668241,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Matt Merrill","sa3004364",677017
"Colby White",,0.045,0.053,0,4.81437,1,0,0,0,,1,4.484,0.9924,0.5734,0.53493,0.137556,0.546,0.0272,0.0431,0.8499,7.6491,4.914,1.55659,1.238,0.189541,0.121766,0.06777430325746536,0.254795,1.5384,0.294019,0.717034,0.408987,,4.99086,-0.00669063,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Colby White","sa3011200",686831
"Braeden Ogle",,0.0464,0.0571,0.015,4.77513,0.8054,0.0414,0,0,,1,4.492,1.0019,0.569,0.53057,0.136889,0.5402,0.0218,0.0464,0.8418,7.5762,4.8618,1.55831,1.232,0.1874,0.120258,0.0671415701508522,0.256542,1.5421,0.295557,0.720572,0.404994,,4.99089,-0.006691,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Braeden Ogle","sa917989",669180
"Franny Cobos",,0.045,0.0531,0,4.83543,1,0,0,0,,1,4.442,1.0163,0.5745,0.53727,0.147667,0.4708,0.027,0.0445,0.8049,7.2441,4.2372,1.70964,1.329,0.181202,0.105988,0.07521385699510574,0.258818,1.4871,0.292063,0.712765,0.392997,,4.9909,-0.00669113,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Franny Cobos","sa3006494",678725
"Jeremy Molero",,0.0452,0.0529,0,4.78845,1,0,0,0,,1,4.502,0.9536,0.5694,0.53205,0.136556,0.5874,0.0273,0.055,0.923,8.307,5.2866,1.57133,1.229,0.20502,0.130475,0.07454463839530945,0.247072,1.541,0.291797,0.719799,0.391993,,4.99156,-0.00669847,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jeremy Molero","sa3006110",678288
"Louis Head",,0.0448,0.0533,0,4.90626,1,0,0,0,,1,4.444,1.0028,0.5792,0.54514,0.155222,0.4683,0.0261,0.0492,0.8569,7.7121,4.2147,1.82981,1.397,0.192822,0.105378,0.08744373917579651,0.255393,1.4711,0.290826,0.711364,0.344997,,4.99173,-0.00670034,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Louis Head","13259",545343
